name,time,air_Pressure_mH2o,air_Temp_float,airtime,batt,channel,coding_rate,counter,data_rate,dev_id,dist,dist2,frequency,gateway_time,gateway_timestamp,gtw_id,hardware_serial,is_retry,modulation,payload_raw,port,rf_chain,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
puhatu,1.60365E+18,-1,0,1.97E+09,3.42,4,04-May,0,SF12BW125,fipy_e1,28.71159744,,867.3,2020-10-25T18:17:17.10825Z,2.49E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,acRaQFqx5UHzpiRB06afQQAAgL8AAAAA,1,0,-16,13.8,10.29075909,19.95645714,
puhatu,1.60365E+18,-1,0,1.97E+09,3.42,0,04-May,0,SF12BW125,fipy_e1,29.38277245,,868.1,2020-10-25T18:47:16.043492Z,4.29E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,6NBaQOsP60FHrSRBMzOgQQAAgL8AAAAA,1,0,-16,11.8,10.29230404,20.02499962,
puhatu,1.60365E+18,-1,0,1.97E+09,3.42,3,04-May,0,SF12BW125,fipy_e1,26.60867691,,867.1,2020-10-25T19:18:47.281647Z,1.89E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,DpZaQJLe1EEhqiRB4VOfQQAAgL8AAAAA,1,0,-14,13,10.29153538,19.9159565,
puhatu,1.60366E+18,-1,0,1.97E+09,3.41,4,04-May,0,SF12BW125,fipy_e1,29.33330727,,867.3,2020-10-25T19:48:43.56027Z,3.68E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,A39aQJ2q6kE4qiRBNCefQQAAgL8AAAAA,1,0,-16,13,10.29155731,19.89414215,
puhatu,1.60369E+18,-1,0,1.97E+09,3.42,3,04-May,0,SF12BW125,fipy_e1,28.51899719,,867.1,2020-10-25T21:17:16.841016Z,4.06E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,OJpaQOgm5EGroyRBr/OeQQAAgL8AAAAA,1,0,-17,11,10.289958,19.86898613,
puhatu,1.60369E+18,-1,0,1.97E+09,3.41,1,04-May,0,SF12BW125,fipy_e1,29.29227066,,868.3,2020-10-25T23:17:14.670461Z,3.31E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,6W5aQJJW6kG4oyRBxDqeQQAAgL8AAAAA,1,0,-15,13,10.2899704,19.77869415,
puhatu,1.60369E+18,-1,0,1.97E+09,3.41,2,04-May,0,SF12BW125,fipy_e1,29.56529617,,868.5,2020-10-26T01:17:16.683358Z,1.92E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,J05aQLqF7EGXkSRBVOGdQQAAgL8AAAAA,1,0,-16,9,10.2855444,19.7350235,
puhatu,1.60369E+18,-1,0,1.97E+09,3.41,1,04-May,0,SF12BW125,fipy_e1,28.04490089,,868.3,2020-10-26T03:17:17.631548Z,5.32E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,0lRaQPVb4EHpgyRBd9OcQQAAgL8AAAAA,1,0,-14,13,10.28220463,19.60325432,
puhatu,1.60369E+18,-1,0,1.97E+09,3.42,6,04-May,0,SF12BW125,fipy_e1,28.32508278,,867.7,2020-10-25T20:47:17.075053Z,2.90E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,UqVaQMWZ4kEwpSRBFUWfQQAAgL8AAAAA,1,0,-14,12.8,10.29032898,19.90873146,
puhatu,1.60369E+18,-1,0,1.97E+09,3.41,6,04-May,0,SF12BW125,fipy_e1,27.38490868,,867.7,2020-10-25T22:47:11.108982Z,1.51E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,amxaQEsU20FhqCRBxN6dQQAAgL8AAAAA,1,0,-16,12.8,10.29110813,19.73377228,
puhatu,1.60369E+18,-1,0,1.97E+09,3.41,2,04-May,0,SF12BW125,fipy_e1,28.06097794,,868.5,2020-10-26T00:47:17.435191Z,1.22E+08,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,s11aQOJ84EGhlSRBKeqdQQAAgL8AAAAA,1,0,-16,9.2,10.28653049,19.73933601,
puhatu,1.60369E+18,-1,0,1.97E+09,3.41,2,04-May,0,SF12BW125,fipy_e1,27.1884861,,868.5,2020-10-26T02:47:17.913422Z,3.03E+09,eui-b827ebfffefdad64,70B3D54996D56D23,TRUE,LORA,aXFaQAWC2UHghiRB5n2dQQAAgL8AAAAA,1,0,-16,9.5,10.28292847,19.68647385,
